loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3
2.307045;0.05882353;2.304225;0.107;2.3035727;0.089;7;7;7;7
2.3004656;0.125;2.3035102;0.107;2.3025672;0.089;7;7;7;7
2.301379;0.09558824;2.301513;0.107;2.3006194;0.089;7;7;7;7
2.2930992;0.14705883;2.2884173;0.185;2.2894912;0.165;7;7;7;7
2.2486215;0.080882356;2.2283072;0.138;2.2400234;0.14;7;7;7;7
2.1815488;0.125;2.132681;0.178;2.1573033;0.17;7;7;7;7
2.105085;0.1764706;2.0749025;0.186;2.1090515;0.155;7;7;7;7
2.0758266;0.14705883;2.0313988;0.212;2.068549;0.174;7;7;7;7
2.017018;0.16911764;1.978918;0.197;2.017474;0.166;7;7;7;7
1.9448105;0.22794117;1.926773;0.196;1.9643493;0.165;7;7;7;7
2.0080242;0.1985294;1.8898106;0.197;1.9235011;0.167;7;7;7;7
1.9864042;0.1764706;1.866232;0.202;1.9040564;0.177;7;7;7;7
1.9425154;0.14705883;1.8494793;0.214;1.888738;0.186;7;7;7;7
1.856725;0.2647059;1.8325977;0.221;1.8723674;0.202;7;7;7;7
1.8527573;0.24264705;1.8123468;0.234;1.8515694;0.22;7;7;7;7
1.8350008;0.29411766;1.7934334;0.255;1.8351521;0.243;7;7;7;7
1.9084908;0.2647059;1.7734212;0.304;1.8175603;0.297;7;7;7;7
1.9260815;0.29411766;1.7524034;0.345;1.8007243;0.317;7;7;7;7
1.8232968;0.2867647;1.7296145;0.348;1.7820919;0.332;7;7;7;7
1.8508247;0.29411766;1.7085083;0.374;1.7670925;0.347;7;7;7;7
1.8365606;0.3529412;1.6873724;0.382;1.7506618;0.355;7;7;7;7
1.7231436;0.3382353;1.6625488;0.397;1.7313731;0.367;7;7;7;7
1.749764;0.4117647;1.6424206;0.408;1.7168974;0.377;7;7;7;7
1.5771078;0.4779412;1.6256893;0.446;1.7012297;0.424;7;7;7;7
1.6228507;0.44117647;1.6099874;0.448;1.6877047;0.411;7;7;7;7
1.942861;0.34558824;1.5945262;0.469;1.6762413;0.42;7;7;7;7
1.5937408;0.4779412;1.5825572;0.49;1.6630875;0.448;7;7;7;7
1.758849;0.30882353;1.5730854;0.496;1.6553235;0.461;7;7;7;7
1.5398703;0.4779412;1.5594112;0.504;1.6415188;0.476;7;7;7;7
1.7089756;0.44117647;1.549712;0.513;1.6314012;0.486;7;7;7;7
1.8489699;0.4632353;1.537256;0.52;1.6205174;0.493;7;7;7;7
1.6758765;0.4632353;1.5301788;0.533;1.6129644;0.518;7;7;7;7
1.8547639;0.44852942;1.5199984;0.534;1.6011038;0.515;7;7;7;7
1.6610109;0.50735295;1.5137033;0.532;1.5954494;0.521;7;7;7;7
1.6045833;0.5294118;1.5066365;0.536;1.5853782;0.522;7;7;7;7
1.8009813;0.4852941;1.4949744;0.518;1.5757887;0.515;7;7;7;7
1.7887021;0.52205884;1.4883658;0.535;1.5684288;0.533;7;7;7;7
1.5403769;0.5588235;1.4825102;0.541;1.5602645;0.526;7;7;7;7
1.5988021;0.49264705;1.4710999;0.545;1.5494455;0.551;7;7;7;7
1.6808795;0.3970588;1.463838;0.534;1.5429115;0.52;7;7;7;7
1.5658464;0.47058824;1.4595908;0.548;1.5366315;0.549;7;7;7;7
1.5864625;0.5367647;1.4502039;0.55;1.5272305;0.543;7;7;7;7
1.5902339;0.52205884;1.4412545;0.556;1.5198799;0.536;7;7;7;7
1.4938462;0.5367647;1.4362493;0.541;1.5127193;0.554;7;7;7;7
1.4792565;0.5588235;1.4283653;0.551;1.5052525;0.553;7;7;7;7
1.6384588;0.44117647;1.4215186;0.545;1.4966142;0.538;7;7;7;7
1.5004239;0.5588235;1.4170115;0.558;1.4939395;0.549;7;7;7;7
1.4319733;0.5441176;1.4083184;0.548;1.4843415;0.546;7;7;7;7
1.6449027;0.4779412;1.4050665;0.555;1.4803923;0.548;7;7;7;7
1.6094058;0.5294118;1.4004788;0.557;1.4758923;0.552;7;7;7;7
1.7392235;0.4779412;1.3945861;0.576;1.4710985;0.552;7;7;7;7
1.6255195;0.5661765;1.3871143;0.556;1.463615;0.55;7;7;7;7
1.5970918;0.49264705;1.3822217;0.562;1.4588186;0.557;7;7;7;7
1.6642731;0.5367647;1.376289;0.558;1.4512436;0.561;7;7;7;7
1.5481634;0.5147059;1.373427;0.557;1.4492992;0.56;7;7;7;7
1.3642721;0.5735294;1.3680826;0.567;1.4438707;0.566;7;7;7;7
1.830783;0.5294118;1.3675311;0.575;1.4416891;0.557;7;7;7;7
1.4739739;0.50735295;1.363713;0.56;1.437969;0.56;7;7;7;7
1.5506049;0.50735295;1.3542199;0.565;1.4299148;0.56;7;7;7;7
1.5797148;0.50735295;1.3492391;0.563;1.4265127;0.554;7;7;7;7
1.6159779;0.5294118;1.3452681;0.576;1.4228477;0.565;7;7;7;7
1.5149025;0.5735294;1.3415383;0.569;1.416203;0.564;7;7;7;7
1.5583271;0.5367647;1.3384442;0.58;1.4142249;0.566;7;7;7;7
1.2940339;0.5441176;1.3319181;0.571;1.4068959;0.561;7;7;7;7
1.6265107;0.4779412;1.3301262;0.584;1.4041312;0.566;7;7;7;7
1.461616;0.44117647;1.325124;0.582;1.4007025;0.572;7;7;7;7
1.3161029;0.5294118;1.3215445;0.589;1.3962847;0.574;7;7;7;7
1.6419748;0.50735295;1.3196075;0.579;1.3924654;0.572;7;7;7;7
1.7959319;0.5661765;1.3140547;0.587;1.3905113;0.569;7;7;7;7
1.4821881;0.6102941;1.3219289;0.571;1.3917794;0.578;7;7;7;7
