loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3;rank4
2.3011322;0.16911764;2.3029103;0.106;2.301143;0.099;6;6;6;6
2.2977352;0.13970588;2.3027675;0.106;2.300147;0.099;6;6;6;6
2.3042893;0.0882353;2.303109;0.107;2.2996655;0.126;6;6;6;6
2.296515;0.10294118;2.3032155;0.107;2.2992196;0.126;6;6;6;6
2.2992172;0.04411765;2.3027744;0.106;2.2988486;0.099;6;6;6;6
2.2981389;0.14705883;2.3013606;0.107;2.2971747;0.126;6;6;6;6
2.2967618;0.11764706;2.2957783;0.107;2.292204;0.126;6;6;6;6
2.283155;0.16176471;2.272833;0.234;2.2692876;0.255;6;6;6;6
2.2339628;0.24264705;2.2046337;0.28;2.2003033;0.275;6;6;6;6
2.1326287;0.20588236;2.0768433;0.221;2.072376;0.192;6;6;6;6
2.0375845;0.22058824;1.9499934;0.236;1.9456804;0.21;6;6;6;6
1.9171686;0.2867647;1.8639058;0.331;1.8583649;0.331;6;6;6;6
1.9783908;0.30147058;1.7869827;0.367;1.7775027;0.371;6;6;6;6
1.9561992;0.375;1.6897166;0.427;1.6760263;0.419;6;6;6;6
1.7395391;0.4632353;1.5717366;0.446;1.5510004;0.478;6;6;6;6
1.8989958;0.3897059;1.4881179;0.494;1.4655815;0.538;6;6;6;6
1.80091;0.45588234;1.4409635;0.495;1.4182854;0.543;6;6;6;6
1.6492214;0.44852942;1.4115827;0.523;1.3979939;0.55;6;6;6;6
1.6131566;0.4632353;1.3770717;0.539;1.3623261;0.565;6;6;6;6
1.5511854;0.50735295;1.3398547;0.559;1.3250359;0.584;6;6;6;6
2.0128233;0.45588234;1.30921;0.584;1.2973309;0.589;6;6;6;6
1.6917756;0.50735295;1.2761897;0.593;1.269203;0.607;6;6;6;6
1.5866805;0.5441176;1.2584088;0.597;1.2451448;0.602;6;6;6;6
1.5154654;0.5808824;1.2250483;0.628;1.2211479;0.62;6;6;6;6
1.5643692;0.5955882;1.1982923;0.634;1.1959935;0.645;6;6;6;6
1.3644919;0.6911765;1.1689985;0.634;1.1730715;0.648;6;6;6;6
1.459849;0.625;1.1416277;0.659;1.1437595;0.667;6;6;6;6
1.4773438;0.61764705;1.1156043;0.663;1.1253257;0.677;6;6;6;6
1.4601481;0.60294116;1.0934658;0.675;1.112178;0.672;6;6;6;6
1.3302891;0.6764706;1.0684903;0.694;1.0855219;0.698;6;6;6;6
1.283735;0.64705884;1.0423042;0.695;1.0588768;0.695;6;6;6;6
1.3374147;0.6617647;1.030774;0.695;1.049448;0.713;6;6;6;6
1.5194768;0.5955882;1.0170177;0.692;1.0402709;0.708;6;6;6;6
1.3125345;0.61764705;0.9898634;0.711;1.0210924;0.729;6;6;6;6
1.418513;0.63235295;0.9754628;0.739;1.0050014;0.729;6;6;6;6
1.3032123;0.6544118;0.9635462;0.736;0.9919806;0.736;6;6;6;6
1.382674;0.61764705;0.95634216;0.753;0.9930954;0.73;6;6;6;6
1.3453003;0.6397059;0.9429898;0.742;0.97871906;0.74;6;6;6;6
1.2168206;0.72794116;0.9273331;0.757;0.9590008;0.746;6;6;6;6
1.1803268;0.6617647;0.92445445;0.767;0.9614256;0.755;6;6;6;6
1.2994851;0.6911765;0.9204338;0.752;0.95461625;0.746;6;6;6;6
