loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3
2.3109627;0.073529415;2.3034713;0.107;2.3030443;0.089;14;14;14;14
2.2960835;0.09558824;2.2916474;0.107;2.290938;0.089;14;14;14;14
2.2230425;0.21323529;2.1919198;0.19;2.1920388;0.208;14;14;14;14
2.1051543;0.25;1.9608793;0.194;1.9489334;0.21;14;14;14;14
2.126817;0.18382353;1.8926009;0.201;1.8809161;0.253;14;14;14;14
2.0359821;0.21323529;1.8738687;0.206;1.8663698;0.262;14;14;14;14
2.0706637;0.25;1.8560416;0.24;1.8450758;0.289;14;14;14;14
2.0505762;0.22794117;1.8426143;0.257;1.8259547;0.306;14;14;14;14
1.943634;0.29411766;1.8166215;0.298;1.8000015;0.311;14;14;14;14
1.8692415;0.32352942;1.7786969;0.313;1.7626568;0.363;14;14;14;14
1.8726486;0.34558824;1.7514131;0.297;1.7258654;0.338;14;14;14;14
1.8121378;0.33088234;1.6855259;0.349;1.6659844;0.401;14;14;14;14
1.829402;0.30882353;1.6328609;0.377;1.6131845;0.417;14;14;14;14
1.7339479;0.43382353;1.5940583;0.419;1.5733433;0.453;14;14;14;14
1.7090963;0.4117647;1.5477751;0.425;1.5318937;0.461;14;14;14;14
1.832492;0.42647058;1.5171697;0.428;1.4965098;0.467;14;14;14;14
1.8155344;0.375;1.4867594;0.444;1.4680711;0.477;14;14;14;14
1.6911571;0.47058824;1.4514036;0.458;1.4415836;0.493;14;14;14;14
1.5906494;0.5147059;1.4221318;0.471;1.4058303;0.503;14;14;14;14
1.7110097;0.3970588;1.3943583;0.477;1.3720664;0.523;14;14;14;14
1.6023707;0.3897059;1.3573005;0.515;1.3448132;0.531;14;14;14;14
1.4245933;0.5955882;1.3296682;0.54;1.3171444;0.551;14;14;14;14
1.5744175;0.5294118;1.3084971;0.531;1.2922254;0.554;14;14;14;14
1.4483613;0.52205884;1.2959126;0.538;1.2760644;0.556;14;14;14;14
1.4800593;0.5441176;1.2646221;0.56;1.2540056;0.57;14;14;14;14
1.5752733;0.5441176;1.2527835;0.564;1.2463377;0.577;14;14;14;14
1.4175994;0.5588235;1.2381941;0.572;1.2320352;0.575;14;14;14;14
1.423884;0.5147059;1.2166638;0.584;1.2124368;0.596;14;14;14;14
1.5987518;0.4779412;1.1997627;0.591;1.1989294;0.607;14;14;14;14
1.408174;0.5882353;1.1875117;0.595;1.1840175;0.604;14;14;14;14
1.5189884;0.5661765;1.1675501;0.6;1.1683093;0.602;14;14;14;14
1.4160599;0.5514706;1.1657096;0.594;1.1609875;0.616;14;14;14;14
1.4298767;0.5588235;1.146507;0.602;1.1464359;0.62;14;14;14;14
1.3567437;0.6397059;1.1352139;0.604;1.1454365;0.634;14;14;14;14
