loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3;rank4
2.3042018;0.073529415;2.304005;0.098;2.303163;0.094;6;6;6;6
2.2987368;0.11764706;2.3032727;0.098;2.30129;0.094;6;6;6;6
2.2961857;0.13235295;2.3030846;0.105;2.2998648;0.107;6;6;6;6
2.300833;0.125;2.302874;0.107;2.2992907;0.126;6;6;6;6
2.2995596;0.11029412;2.3029644;0.106;2.2989426;0.099;6;6;6;6
2.2934914;0.13970588;2.302987;0.106;2.2988667;0.099;6;6;6;6
2.2935455;0.13235295;2.3029213;0.106;2.2984679;0.099;6;6;6;6
2.294945;0.16911764;2.302711;0.106;2.2979953;0.099;6;6;6;6
2.2916818;0.10294118;2.3013935;0.106;2.2969103;0.099;6;6;6;6
2.3038752;0.13235295;2.2986288;0.106;2.2930255;0.099;6;6;6;6
2.280053;0.10294118;2.289822;0.106;2.2842212;0.099;6;6;6;6
2.2615426;0.09558824;2.2607949;0.106;2.2533164;0.099;6;6;6;6
2.203834;0.18382353;2.200198;0.134;2.1944346;0.124;6;6;6;6
2.1482952;0.18382353;2.0755131;0.21;2.0777597;0.191;6;6;6;6
1.9909678;0.22058824;1.9439045;0.216;1.9506335;0.194;6;6;6;6
2.0037744;0.16176471;1.8682477;0.221;1.8764942;0.201;6;6;6;6
1.857175;0.31617647;1.8321216;0.254;1.8419538;0.22;6;6;6;6
1.966378;0.24264705;1.8030212;0.274;1.8194106;0.241;6;6;6;6
1.9353234;0.25735295;1.7645571;0.314;1.7837019;0.285;6;6;6;6
1.8549176;0.3897059;1.7121338;0.385;1.7310718;0.384;6;6;6;6
1.7843735;0.38235295;1.6279973;0.373;1.6422396;0.382;6;6;6;6
1.746246;0.3529412;1.535072;0.42;1.5382342;0.422;6;6;6;6
1.6235559;0.4117647;1.4665895;0.431;1.4742017;0.423;6;6;6;6
1.725948;0.3529412;1.4107976;0.464;1.4158388;0.474;6;6;6;6
1.7201107;0.43382353;1.3553455;0.528;1.3657405;0.538;6;6;6;6
1.6265577;0.5367647;1.2900003;0.577;1.3010906;0.579;6;6;6;6
1.5465212;0.5294118;1.2432371;0.607;1.2594641;0.624;6;6;6;6
1.3437512;0.61764705;1.1802827;0.659;1.1997182;0.651;6;6;6;6
1.563002;0.5588235;1.1471424;0.664;1.1637994;0.679;6;6;6;6
1.5190021;0.5735294;1.1233789;0.68;1.1369962;0.686;6;6;6;6
1.5190607;0.5661765;1.102102;0.676;1.1321045;0.665;6;6;6;6
1.4640586;0.6102941;1.0745306;0.686;1.1008486;0.689;6;6;6;6
1.513429;0.625;1.0598851;0.702;1.082947;0.707;6;6;6;6
1.4303777;0.6911765;1.0373961;0.709;1.0575761;0.719;6;6;6;6
1.2737341;0.6691176;1.0361023;0.706;1.0631732;0.713;6;6;6;6
1.3463267;0.6617647;1.0071266;0.725;1.0359436;0.719;6;6;6;6
1.4882756;0.5955882;0.9944498;0.74;1.0283489;0.732;6;6;6;6
1.3318435;0.5882353;0.9932725;0.715;1.0334398;0.718;6;6;6;6
1.2074647;0.72794116;0.96153057;0.741;0.9973264;0.733;6;6;6;6
