loss_train;acc_train;loss_val;acc_val;loss_test;acc_test;rank1;rank2;rank3;rank4
2.294985;0.09558824;2.3032227;0.106;2.301397;0.099;6;6;6;6
2.312642;0.09558824;2.3039975;0.107;2.2997944;0.126;6;6;6;6
2.2897608;0.13235295;2.3045547;0.107;2.299502;0.126;6;6;6;6
2.299107;0.13970588;2.304307;0.107;2.299508;0.126;6;6;6;6
2.3008387;0.15441176;2.3041818;0.107;2.2987294;0.126;6;6;6;6
2.298112;0.09558824;2.3028777;0.107;2.2974136;0.126;6;6;6;6
2.2907472;0.125;2.299649;0.107;2.2937295;0.126;6;6;6;6
2.2945585;0.125;2.289737;0.107;2.2831874;0.126;6;6;6;6
2.2424474;0.22058824;2.2528183;0.179;2.2461336;0.179;6;6;6;6
2.1784368;0.24264705;2.1674848;0.212;2.1624413;0.225;6;6;6;6
2.1064892;0.23529412;2.0348003;0.273;2.0334358;0.276;6;6;6;6
2.0297863;0.20588236;1.8794539;0.338;1.8864732;0.338;6;6;6;6
1.7692255;0.40441176;1.7163167;0.418;1.7311672;0.406;6;6;6;6
1.8746282;0.3602941;1.5897073;0.46;1.6129277;0.467;6;6;6;6
1.6454093;0.5588235;1.5007552;0.49;1.528659;0.491;6;6;6;6
1.5131884;0.5514706;1.4452356;0.541;1.4775652;0.546;6;6;6;6
1.760108;0.52205884;1.410622;0.546;1.4513032;0.533;6;6;6;6
1.5694941;0.5294118;1.375468;0.581;1.4087571;0.553;6;6;6;6
1.6222142;0.5147059;1.3522794;0.573;1.389393;0.561;6;6;6;6
1.6920849;0.5;1.3287314;0.597;1.3622473;0.573;6;6;6;6
1.637876;0.5147059;1.3044105;0.614;1.3332009;0.583;6;6;6;6
1.5252199;0.5441176;1.2837377;0.613;1.3092695;0.6;6;6;6;6
1.7038879;0.4632353;1.2649983;0.598;1.2918652;0.582;6;6;6;6
1.576709;0.5441176;1.2424586;0.632;1.2629509;0.617;6;6;6;6
1.5824788;0.5514706;1.2226808;0.658;1.2415646;0.632;6;6;6;6
1.4409295;0.5955882;1.1948444;0.656;1.2208788;0.644;6;6;6;6
1.648317;0.5514706;1.1778897;0.67;1.2029454;0.645;6;6;6;6
1.6466844;0.52205884;1.155221;0.684;1.1834465;0.663;6;6;6;6
1.494318;0.63235295;1.1309124;0.696;1.1578528;0.681;6;6;6;6
1.4753983;0.6102941;1.1022276;0.712;1.1291585;0.688;6;6;6;6
1.1743655;0.6764706;1.0690625;0.717;1.0974783;0.696;6;6;6;6
1.341863;0.6397059;1.0419614;0.727;1.0767614;0.702;6;6;6;6
1.5045187;0.63235295;1.0091752;0.742;1.0491009;0.722;6;6;6;6
1.211524;0.7132353;1.005913;0.73;1.0316472;0.726;6;6;6;6
1.2187526;0.6911765;0.97390974;0.746;1.0058872;0.737;6;6;6;6
1.4673475;0.625;0.9566086;0.735;0.99316734;0.722;6;6;6;6
1.2575142;0.6617647;0.9489565;0.757;0.9828426;0.733;6;6;6;6
1.0830779;0.72794116;0.93012726;0.761;0.9622184;0.74;6;6;6;6
1.0894974;0.7058824;0.9240394;0.742;0.94497293;0.737;6;6;6;6
1.3046645;0.6764706;0.90899634;0.761;0.936676;0.765;6;6;6;6
1.1899817;0.6544118;0.89636546;0.781;0.9306387;0.768;6;6;6;6
1.186218;0.7352941;0.89060485;0.76;0.91098386;0.766;6;6;6;6
1.1372808;0.7647059;0.87865674;0.78;0.90461135;0.764;6;6;6;6
1.2601049;0.77205884;0.868018;0.776;0.8846573;0.773;6;6;6;6
1.1495934;0.7132353;0.867033;0.784;0.88142055;0.783;6;6;6;6
1.112075;0.72794116;0.87377614;0.782;0.88512826;0.788;6;6;6;6
1.0271469;0.72794116;0.8574374;0.784;0.87725466;0.786;6;6;6;6
1.3624542;0.7205882;0.8510561;0.785;0.8653726;0.792;6;6;6;6
1.2439507;0.6764706;0.840405;0.779;0.8584247;0.793;6;6;6;6
1.0882561;0.74264705;0.8370385;0.782;0.8536802;0.791;6;6;6;6
1.0373787;0.7794118;0.83493376;0.778;0.84787047;0.789;6;6;6;6
1.1554037;0.7058824;0.8359692;0.787;0.85136884;0.792;6;6;6;6
1.1939293;0.7352941;0.8407263;0.791;0.8588196;0.796;6;6;6;6
1.122053;0.7647059;0.8180246;0.781;0.83619606;0.788;6;6;6;6
1.2569408;0.6911765;0.8238319;0.79;0.83900255;0.789;6;6;6;6
1.0324968;0.75;0.8124307;0.793;0.8291637;0.801;6;6;6;6
1.0775627;0.7867647;0.8104651;0.789;0.827713;0.801;6;6;6;6
1.1429778;0.6985294;0.8093921;0.796;0.8319846;0.803;6;6;6;6
1.1571579;0.75;0.8069712;0.802;0.8434785;0.788;6;6;6;6
1.1177783;0.74264705;0.7935841;0.801;0.8136043;0.804;6;6;6;6
0.95737785;0.77205884;0.80938965;0.787;0.8218759;0.799;6;6;6;6
0.9733958;0.8014706;0.78190345;0.8;0.81203747;0.802;6;6;6;6
1.302177;0.6985294;0.78392607;0.788;0.80397797;0.806;6;6;6;6
1.2313893;0.7058824;0.7976122;0.814;0.813587;0.81;6;6;6;6
1.0777265;0.75735295;0.78854835;0.801;0.8103449;0.811;6;6;6;6
1.1419139;0.77205884;0.7852417;0.793;0.8034894;0.812;6;6;6;6
1.0825325;0.7352941;0.7925765;0.779;0.80682;0.797;6;6;6;6
1.1712323;0.7352941;0.78088975;0.786;0.8051678;0.791;6;6;6;6
1.0448382;0.74264705;0.81001675;0.784;0.8276141;0.794;6;6;6;6
1.1536713;0.6911765;0.7896979;0.802;0.8178781;0.787;6;6;6;6
1.03079;0.74264705;0.7832787;0.783;0.8154165;0.791;6;6;6;6
1.2852118;0.6985294;0.7811363;0.797;0.79784656;0.803;6;6;6;6
1.0722826;0.74264705;0.7702224;0.807;0.79566467;0.803;6;6;6;6
1.1381818;0.7132353;0.7747693;0.798;0.79610354;0.804;6;6;6;6
0.9136788;0.8088235;0.7697421;0.796;0.78584677;0.801;6;6;6;6
1.0796707;0.75735295;0.7908053;0.808;0.8034774;0.799;6;6;6;6
0.89180285;0.7941176;0.7628744;0.81;0.78136724;0.808;6;6;6;6
1.2311751;0.6911765;0.8089615;0.794;0.8107021;0.791;6;6;6;6
0.99949557;0.75;0.7643705;0.793;0.7804153;0.8;6;6;6;6
0.9932888;0.7647059;0.77252907;0.806;0.81059027;0.788;6;6;6;6
0.8989854;0.7867647;0.7757034;0.804;0.8000529;0.786;6;6;6;6
0.93149847;0.7941176;0.75137466;0.803;0.77308315;0.807;6;6;6;6
0.9864535;0.7941176;0.76291627;0.803;0.8012186;0.788;6;6;6;6
1.0614681;0.75;0.7583067;0.799;0.78955567;0.795;6;6;6;6
1.1801331;0.7205882;0.77049774;0.804;0.80052;0.791;6;6;6;6
1.0714273;0.7205882;0.7589308;0.799;0.7755458;0.795;6;6;6;6
1.0913742;0.7132353;0.7672356;0.784;0.79734546;0.785;6;6;6;6
1.0900213;0.75;0.7739735;0.8;0.7944966;0.789;6;6;6;6
1.0621939;0.77205884;0.7652925;0.803;0.78753054;0.797;6;6;6;6
1.1571422;0.7352941;0.74824697;0.8;0.7896759;0.787;6;6;6;6
1.0829749;0.75735295;0.7673713;0.806;0.7864601;0.787;6;6;6;6
0.9669881;0.7352941;0.74867016;0.803;0.78864795;0.776;6;6;6;6
1.0554365;0.7352941;0.74834186;0.806;0.7827775;0.784;6;6;6;6
0.930246;0.77205884;0.7688452;0.775;0.7893059;0.776;6;6;6;6
0.9768023;0.7794118;0.7405327;0.805;0.77581185;0.778;6;6;6;6
0.8840885;0.8014706;0.7600277;0.79;0.7978039;0.775;6;6;6;6
0.76173073;0.8014706;0.7437796;0.799;0.775548;0.787;6;6;6;6
0.8922038;0.7941176;0.76280564;0.796;0.79287946;0.775;6;6;6;6
0.90128034;0.7941176;0.7593123;0.796;0.7755016;0.786;6;6;6;6
1.1105188;0.6985294;0.8030308;0.788;0.8340734;0.774;6;6;6;6
0.9789949;0.7647059;0.76994365;0.79;0.80070394;0.769;6;6;6;6
1.0219967;0.7352941;0.7647505;0.799;0.8060434;0.773;6;6;6;6
0.82952094;0.8235294;0.7592439;0.792;0.7879425;0.782;6;6;6;6
0.9908022;0.75;0.76477456;0.792;0.77968955;0.788;6;6;6;6
0.96743727;0.74264705;0.7617467;0.795;0.8092489;0.77;6;6;6;6
0.88483;0.77205884;0.7411016;0.794;0.78936595;0.769;6;6;6;6
0.8737865;0.8308824;0.7582506;0.801;0.79023093;0.775;6;6;6;6
0.8832062;0.77205884;0.74488795;0.798;0.7740469;0.78;6;6;6;6
1.077176;0.7352941;0.7652857;0.794;0.8020015;0.772;6;6;6;6
0.93119556;0.77205884;0.74507314;0.791;0.7831516;0.773;6;6;6;6
0.8941189;0.75;0.74910647;0.788;0.7860245;0.771;6;6;6;6
0.87598467;0.7794118;0.7652871;0.773;0.7994572;0.758;6;6;6;6
0.85307646;0.7867647;0.75509936;0.787;0.7916968;0.771;6;6;6;6
